공원,소재지,섹터,제목,언론사,보도일,링크,수집질의
팔공산,대구·경북,탐방시설,팔공산국립공원서부사무소 은해사 탐방지원센터 개소식 개최,잡포스트,2025-03-27,https://news.google.com/rss/articles/CBMibkFVX3lxTE9ja29MTTl0bzdwcnFIbGpEOFJULXNEOGdyQ1JvcVRpcVZPUVllY0ZidnZwcEhlTHg2UHNSNWJGekpFMl85ckpoaEg5TWhhYi1La0NBX21zWDJlME1acTBPMUxCa2NQYVNoRlg1MTR30gFyQVVfeXFMTlkyYTJRWUloU2k1VGdZTTBNRTJpNW04bkVzWXBVRks5SXd0ZXBMZ3MtdmQ0Q1plOXZFZXJJVkVlNXpxRjctdEQzRk1XNEotVTQyMV9yRXU1aXh3NTlsS0J0Zzk4a2JzeXlKN2ZxdmtFR0ln?oc=5,팔공산 국립공원 탐방
다도해해상,전남,행정,"완도군·다도해해상국립공원, 산림치유 활성화 위한 업무협약",서울경제TV,2025-03-27,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9TSk5pcmZrVmNvSVRvd0dWeV96WW0yUjRkdFc3VE1OUlpoSWRBZ2VJRVlCUWVudXJCcGhXcFRPT3hpUXZwZzlub09BbWU5dFdLWktiaXphTTVpV3Rsd2I2U1U3RXo?oc=5,다도해해상 국립공원
가야산,경북·경남,자원보전,"가야산국립공원, 드론 순찰대 ‘에어-레인저’ 운영 시작…보호·안전관리 혁신 추진",kyongbuk.co.kr,2025-03-27,https://news.google.com/rss/articles/CBMib0FVX3lxTFBOM2dobUNGRVdZa3pMNUZISnhyc3V5dDhDUkN6SWI2TmhQMnpZbVpKdTBiOTJGSlYxT1B2bk14S0RtdUVpS3lETDN5ZWF1NV9JNmxfWDJIMEJ4UU1TZTRwQkE1bnNoNDU5LXFfOVZhaw?oc=5,가야산 국립공원
가야산,경북·경남,기타,"""무단출입? 꼼짝마!"" 가야산국립공원, 첨단 드론 에어-레인저 운영",뉴시스,2025-03-27,https://news.google.com/rss/articles/CBMiYEFVX3lxTE51QlJOcW5NbkllZGt3MERlQWFDMVZoYWRMWkxISmpEVFhCb1dENTVjRjFCY2NpRktjYjZVeG0tSWFpVGxLbkx0WVMzbWlaTUI3cHZkTUxtWmlYdXZLR0xuV9IBeEFVX3lxTE5vOHQzZjdoc3NmVkw5SlJrdVNaWkhSUjRFQ1YtLTJMLUJDYVFwSUNoZjM0bUIycTc2Y2ZGSDk2cGpjMkxJbXFpUlBFcEI0NTNseG5EREpKS3Utdk5vNkRBck8zMlVlYzRQMmpKMHNhTFdLVzk3QmtnVg?oc=5,가야산 국립공원
가야산,경북·경남,기타,"가야산국립공원, 첨단 드론 ‘에어-레인저’ 운영",대구신문,2025-03-27,https://news.google.com/rss/articles/CBMia0FVX3lxTFBJa0FJdkZ4MkJIeHg5bm91bmtjaURJb25jUE5JYVVUMEZmeDN1MlVYODQ4Q3ZDeFlPM0diZk12SXJ4RDQzRWlZRnVHclltZUQ4bFZCU2thblNhQmN1SVloVW9ITjlsQXJuTHpN?oc=5,가야산 국립공원
팔공산,대구·경북,탐방시설,팔공산국립공원 은해사탐방지원센터 개소식,경북TV,2025-03-26,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5uYUlZQkVUcV8ya0R3djRkRk5CUnY2Q2tUZ0I2NVhaQklaYXd4Si0wQlhydllQX09oU3RGQzh6TU1iOXg3dk1WYl95Z0NEMmZOZi1IeHJxNWp6alFiQ1p1MC1RcG0tdw?oc=5,팔공산 국립공원 탐방
지리산,전남·전북·경남,재난안전,"산청 산불, 결국 지리산국립공원으로 확산 중",파인드비,2025-03-26,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5vRUVRZXotU1p3LUt4UTZNZ2tsV2NMd0UzRGpKNDkxN2ZLV3dpUzB0dDBTVHFUSjYyMnFIbGpycTg4dGFSdlJJTkRoWVZMYTRaRXJ5bl9UdXRsd1gyc0VibDQzdzNMZ9IBakFVX3lxTE51UWtfTVlGV2xWbm8zcDF6ek5mek94NkFGa0JrdklxT0FwNjRiaW4yaGpiQmVjN2tCUlhpUFBvelhMeVJnTEgzWTdiTV84SjdqdF9Sa0dlRzBNbDZ1bXpFTWNXYmFYdGZhZnc?oc=5,지리산 국립공원 사고
지리산,전남·전북·경남,재난안전,"환경부 ""주왕산·지리산 국립공원 산불 확산 저지 총력""",연합뉴스,2025-03-26,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBFVkNqSjJCdjc1ZGh1WDI3V2V3MUU0UzBMN2VWYUxLdnlsYlpZNW9rLVBUMXhaNWZMbVFwb2M0OTVNVzN4WkUteFJXWU9GSUZDRGxUc25yaEZ5NmPSAWBBVV95cUxQVHo2YUFnd0N6VDBpc28yc1JhaENKSGRBY1dQeVpEOFNOaFh6a25Va1c0SkhnZWs2OXc3eTI5Yk9CMnpUNThIV0xJTVJqR2RkZllFREFTZ2IwRFlTNnRMWlM?oc=5,지리산 국립공원 탐방
지리산,전남·전북·경남,재난안전,"[종합] 영남 산불, 사망자 22명으로 늘어.. 하회마을 지리산국립공원 산불 저지 사투",폴리뉴스 Polinews,2025-03-26,https://news.google.com/rss/articles/CBMibkFVX3lxTE9Dd296S0xCMXpJM1lwaW1laEdrZUgzY3dzVmdWT2phVnlhZ3l3djQ4ZE1KYnhhTGNKOVVKS2ZDMzhqdHhycEtxYk42WVF2cDE1NmlyT3V1NnEzTzNNNU1CcmctSVRuMHI0V3FKUVRB0gFyQVVfeXFMTTNjVTA0T1IwcjJ1QVV1MlVwVVAta1hGYVNNUGlYNkY1QjhnVHNUVzMzajR4ODltVnlHRGV3d2dtaU1mcjhaTHhxcXJaWmZYQUZicF9ORzJ5bWRZMGF5ZjJsN0F2aFMwMEJSSnNJbFBLRGtB?oc=5,지리산 국립공원 구조
(전체·공통),,기타,제5회 국립공원의 날 기념식 개최,환경일보,2025-03-24,https://news.google.com/rss/articles/CBMiaEFVX3lxTE04YmZUdkY3Z3N1ZS13QUd0UDBVSmdNV2FtYjFOU2E4TkR1c2hKZ25PUVZUWlY2Y3pabFJkOGFwdXJKZURMRTNBQmctdnpIRUxFTkhFMGRqOVAwbEszOVpBVHlvQ183NjA2?oc=5,치악산 국립공원
(전체·공통),,기타,국립공원의날 5주년…진우 스님 “자연과 사찰 공존” 강조,현대불교,2025-03-24,https://news.google.com/rss/articles/CBMib0FVX3lxTE5OMTFkdlhoRDZLVmxIYkVGRDJZT0dJbzFYLS1sRTVrWlRvZmtVZlZWMW42OFRsd19UYktPT3RacVJ0UTNjNDBaT240M21oOFNaUnl5bXM2YlhzOHN4cXNHb3lCeDJrVHF0cFB2OVVVWQ?oc=5,치악산 국립공원
치악산,강원 원주,기타,“아름다운 공존”…24일 '국립공원의 날 기념식' 치악산 구룡사 개최,전자신문,2025-03-23,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1sODAzVDEwS0hoR0xNOFdXYVJuSlhtaWNZcnBQMHVCRWtYWkZNOVc2dWw3QW9Mbi0xUl9HdE0zYTl1Zi1CR0o2cVJlN1p5Zw?oc=5,치악산 국립공원
치악산,강원 원주,기타,'국립공원의 날' 기념식 치악산 구룡사에서 열린다,강원도민일보,2025-03-23,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5fMVJEMWpKQnpNV2tBeUtfWFhEVWRiNGlKRzZyWWNVQUlJRWNGaWpjUVItZ2dyclJSbzVGbUNhQ0JjVnNxQTNlUnJzejBVWkZKWU1FNHNkZHF1azdJN1ZxT0g5RmlRb28?oc=5,치악산 국립공원
팔공산,대구·경북,행정,팔공산국립공원동부사무소–경북대자연사박물관 업무협약체결,매일신문,2025-03-21,https://news.google.com/rss/articles/CBMiYkFVX3lxTFA5TDFYV1FEdS04RmdDS0x3MzlqVmt4UzQ1b0ZyMEVzNk5TMVUtZ2xoeE9NM3h0U045MEVhYlJ5cTdPWlg3SVVaOEZVTWVTWGJrZFhmSkhMSm9MYVlaeXRkMjFR?oc=5,팔공산 국립공원 탐방
다도해해상,전남,행정,"다도해해상국립공원사무소·여수시장애인종합복지관, 협약",ecojournal.co.kr,2025-03-21,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1RbVVBRGlqTjdwTDBTdXg4NzhLR01KTm4xWlpOeFFPQmIwUC1CWHZkSmF1amVQYXJQSE1LR0kxWEFWbE04aFRkNFZkS25LUTA4WU1BOUFVdlFGdw?oc=5,다도해해상 국립공원 탐방
가야산,경북·경남,기타,"민간경력 신임 사무관, 가야산 국립공원 봉사활동으로 공직가치 다져",법률저널,2025-03-21,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9Oa21BaVA3UnFzSWVsVXZNME5UaTl6UWdpdnNPelZyOUs5NkpRcm9PSXNha1dSUHFyazhvUTNyczNxLXJyWjVwR0U4Tlh0bTRwampYaTRaTGNaY1pvZS0yLWVqWUh4NzQ?oc=5,가야산 국립공원
월악산,충북·경북,자원보전,[영상] 월악산에도 산양이 많이 산양,뉴스펭귄,2025-03-20,https://news.google.com/rss/articles/CBMib0FVX3lxTE81anZpS1k1d2g1VGlTRkU5eDZ3SmtINDlNNk9ibmk5dEJ4dkQ0MEtZZlNKR0pGdUJnTUstTURmdEtCU3NxOGxBT2JoSWpCRnZURVB5TnlqQnMtMkNZYnNZSF85S0p0VHNGMXNfa1hmNA?oc=5,월악산 국립공원
(전체·공통),,기타,국립공원 산악전문지도사 자격과정 교육생 모집,ecojournal.co.kr,2025-03-19,https://news.google.com/rss/articles/CBMiWkFVX3lxTE05VmFUOHg3VVVXdkNtbktPY0MzU2dHc0QxdUZZMXVYeVNzQmVvZGV1S1JUblJlQ3A3UUM1ZG1hVEJObDB3SC1IZ1AzTzVmalpsV3hxdmkyNnUzUQ?oc=5,치악산 국립공원 사고
한라산,제주,재난안전,춘분 앞두고 한라산 폭설...정상 개방 연기 51일째 통제,제주의소리,2025-03-18,https://news.google.com/rss/articles/CBMia0FVX3lxTE9CdXc3Ri1wRng0RXpfRngySWwwTHQzVXlIbU9BUGlNeXVxZFFBVWh3QUlIbmdHVGJrcFBCeTYxQUpZdVhvTVRFdXVaQ2puTmotODFFS182ekVCbkFieXdnbF82RnlJNzBxZGZF?oc=5,한라산 국립공원 사고
한라산,제주,탐방시설,"제주도, '한라산 탐방예약제' 제도개선...사라오름 제한 풀리나",헤드라인제주,2025-03-18,https://news.google.com/rss/articles/CBMibkFVX3lxTE9ialZKaFF5eHIzMXExTHk5ZVdKaUZWMVUyMDNmeHdQbkI2TzdPWTR4dnpKX2JpbGZEbmM1aUtxYy1IRVhETkFTeEdSLVdEams1RHFtdFplZjBGLXRhQVJydWxCeG00a28xTlVGRHhB?oc=5,한라산 국립공원 탐방
한라산,제주,탐방시설,"한라산 탐방예약제, 이용객 편의 높이는 방향으로 개선",제주팟닷컴,2025-03-18,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1tQVBuV29NTFdNT1RWNVdjblNzTjJwYVV2UmJLOHRadEVOb3dvdkZKTVI4d2l1c0NITV9MbXFYdjFzYTRDVmE0TWhBbmRoNi1xYTZibkxsOFh1bVJHV1hMWGNwaw?oc=5,한라산 국립공원 탐방
한라산,제주,기타,설산 휘감은 ‘잿빛 비명’…한라산 크리스마스트리의 비극 [포토다큐],경향신문,2025-03-18,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5YT1RjZFhvLW5oQUl4R01hdTA2QmxhMnl5YVlSYk5CTmZiVUlwOFdtWW9tZ2kyYzFxbm4taENZdnozbDRwVkNfY3dLYzhrc0tCZ3dwYUxmZGNiZ9IBX0FVX3lxTE5MMWNpWE80elNid1hKV05mNVNkNEdXVXlhd2VfZHcwS1gyemFQODJEaTBMQl9RVXQ1aVZCWjJoZjFEODVhUGxfZ1RkR09Bb2pHSWFLMXNLd21IMC1qY1h3?oc=5,한라산 국립공원 생태
월악산,충북·경북,자원보전,'멸종위기 야생생물 1급' 산양 183마리 월악산 서식 확인,뉴스1,2025-03-18,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBXY0ljUUllMVl0bFJXN2NBU29VdzVEMjdFR2JFMFNuVjNPOW1IR0JhRDJwWU8tLWxlZ3lrdVE1MTVyb1I4MG40R2xnUFNCMlJCSHJwWFd2S3R1TmJHNTFR?oc=5,월악산 국립공원
한라산,제주,구조출동,"한라산 백록담, 50일째 막혀…강풍 속 등반객 심정지 사고도",woorinews.co.kr,2025-03-17,https://news.google.com/rss/articles/CBMibEFVX3lxTFBrNUdabElYeURzdEhyNFU2bV9NVFpja1ROeFZXNmZBTFc0cEN0V2gySkVBeGxndWE0RWNsQ3N4VW00WFhoZk9uUXh0YjNncDJHalVJdFA4YVBwNk50d2FldTdCVmoyaDFTaTBTNtIBcEFVX3lxTFBLNDUwVWpDZXJreDR2akNyeF9RTDAtMjFqYy1OUUxvbzNMQVFqRldaVUMxRE5PeHdxa0hnWmJZVmpwZ0JMZmVXUmxYMmo2eVdkQXVIcVNuckdfWDB2bVVFcWYwdkR3eUJvN3RtbUJlN2g?oc=5,한라산 국립공원 사고
한라산,제주,탐방시설,"백록담 보기 쉽지 않네…한라산 정상 개방, 18일로 연기",뉴시스,2025-03-17,https://news.google.com/rss/articles/CBMiYEFVX3lxTFA4UVFMOWxZdG4waFRzbVg0V01FTEo1dzFzZ0pUTUFBcHBYYlU1T2dyMlpURmhzUm9Bb1paQmw5dG9WU3VxOWh2T3NDVHhvSWVueEl3VXZ4VGFFbkF0VHZUWdIBeEFVX3lxTE9LZ1kydmhGNXd2S1piNlJNT0xFTzJNNEZQT0VGOGt5YmJ1OHlGbUZxTU1RTm5yYzN2akV0bUdWV0hOcDNSR3F1S1Q5REZCa1lLd1UzYmxTX2UyX0JhOC1TMHVEV0ZLS2NnTmNVcDVlVGZSMkg2NXFqWA?oc=5,한라산 국립공원 사고
무등산,광주·전남,재난안전,산사태로 파괴된 무등산 초목 5년만에 70% 복원,jnilbo.com,2025-03-17,https://news.google.com/rss/articles/CBMib0FVX3lxTFBNTlR2MGRnb3ZINXlMa0tKR3N6OG1vVnZqc2FHSUJkSG1rNFdWMU1GSXVSSEp1bW1FQmhyYkRTMUhGdWIzLXdHQkJudUlsalVkZGs3VlEzWmxwV2ZpRXJWWWtrNmZWYjlONDE2cHdUZw?oc=5,무등산 국립공원 탐방
오대산,강원,자원보전,오대산국립공원사무소 강릉 삼산리 일대 양서류 로드킬 보호활동,강원도민일보,2025-03-16,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE40c1ZCUEpXNzFuNGtDNlJaZjB3ZndqYW9WUURxT2tmU1BCS1JFQzhDQ2ZJUXVYNGllTnVacVFuelJISUNJQWwzaXlCTzhpbjhoZmVzLUl1NFc2cDZMZ3RYODRxWDl5aWc?oc=5,오대산 국립공원 구조
한라산,제주,기타,"""허술하게 도전했다간 큰 코""…한라산 산악사고 흑역사",연합뉴스,2025-03-15,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1qU3liTVREdjNMLU9CRkVESGhqVUhvdWhROE50YWFuVFlaUUxva3FGYmc3cWl4RDkzUW5saXRsX0JHSnRfVnpHWmFQd1VYcWtQU2hHekJJbm9GcjDSAWBBVV95cUxNT3dJakNwOTl4V25PVmthV0FKVUtZQWF3djkwUFVEN2tRTmppaVFXaUxLV0RRdW0tc2kxd2VhVHRFS3VKbDV3T3dQWjVQbVJ5dDlBWElKNTk5RmpIeWp4dG4?oc=5,한라산 국립공원 사고
설악산,강원,기타,사진사·은행원도 뭉친 ‘설악산 어벤저스’,v.daum.net,2025-03-15,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9EN0dOSGdPalR3TlUyNVlSLUhSR0FWX2dhZGZseXJPTHVjMW5xMDVRQjlnZFNiRmxMRndzbDhrTVpwMlJwQ3o3UG1pUTE0bHM?oc=5,설악산 국립공원 구조
주왕산,경북,행정,"주왕산국립공원사무소-경북북부제1교도소, 업무협약",매일신문,2025-03-14,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9QY044SXg0SkJ6dEtYNFBGa2tWdTRWOG9sXzA0aFpTQW1jWjFlNVJPYVVOdDFQLUUyWDZucm1ORDJnOXRDOU0tMUxNV3BqaHk5ek1yS1NTV2JrbW9qak5HR0pB?oc=5,주왕산 국립공원 탐방
오대산,강원,구조출동,"오대산국립공원, 양서류 구조활동…11년간 5만마리 구조",연합뉴스,2025-03-14,https://news.google.com/rss/articles/CBMiW0FVX3lxTE0xZV8yMzI1Q09tN3YxMXgta0puc0xNdHotU05OdEljZXF1U0Jna1BXaWtqLUdXVV95ZV9YVGZhRkdlTFhqX2poTWY1MTgxS0hfTVcyWnpGVnZHUG_SAWBBVV95cUxPeFp4NHV2R2JGLU54eGNJc0NHc3h5TnB4QVVmeFVEWUcwSzVvT3RaNHJjbnVEd2tYbTJpX1A2dEFSdWZ3Qmp6aFJ5QU1KZjgyOTdLc2VXZk5EVGdabVp2QTc?oc=5,오대산 국립공원
소백산,충북·경북,기타,소백산에서 힐링 여행…영주 웰니스관광 ‘여유만만 소탐 치유여행’ 운영,kyongbuk.co.kr,2025-03-07,https://news.google.com/rss/articles/CBMib0FVX3lxTFBwdFZMamFNRjRxbnZ3UGxBVUtGZVFsdGhlWU0tY0syR2lhZWRTb21GcFhqYW8wa3VDQTJrdEtXNUc1M3pPUHk3cXlvQWNlTllzVWxoLUFVall2VTlXZWVZMEFrcHhmRjN5dHhLSHhWMA?oc=5,소백산 국립공원 탐방
소백산,충북·경북,자원보전,"소백산생태탐방원, 웰니스 관광 ‘여유만만 소탐 치유여행’ 운영",영주시민신문,2025-03-07,https://news.google.com/rss/articles/CBMiaEFVX3lxTE41SVhZSVBuYmpWQWVoRDlSSWhZWWszNEp1MWVlaXExOWowNmlTa2pIZlo2V1ZXdWJxamxaR1dlOVNtYmx1SUQwNko5R2IzMHpjb04yRWc4NFZNVUs4ZnZZVUtNWkdjNV9Z?oc=5,소백산 국립공원 탐방
속리산,충북·경북,탐방시설,"속리산국립공원, 탐방로 일부 출입통제",보은사람들,2025-03-06,https://news.google.com/rss/articles/CBMibkFVX3lxTE5Nc1E4NkxxVUFzVUJSQlhzSEpTRXlHR2V0NXhZQnczSWpQWC1hdkhqaVRXTzVFbTdmSUJRbXdBUTVwVlJpSjFsamtXQ0FhN0R1LTRXZDZqVlowSGZXcjEyM1lXUlFhakREdWd6cFF3?oc=5,속리산 국립공원
지리산,전남·전북·경남,기타,지리산 벚꽃길에서 무료 웨딩촬영…'숲 결혼식'도 확대,뉴시스,2025-03-04,https://news.google.com/rss/articles/CBMiYEFVX3lxTFB2Q2lXSlVyMzk2cG4tdk82QWNiWWtiOS00eHA1WEZoekpOMnpOTS1Pck9yM3JPMEFsMERjcmhLTEFqclAwUEtQSkhUNTE3dVBVQlRRRWV6eXk1Vkk5TktfONIBeEFVX3lxTFBHeTN0VHVaa25WR0xPMmlrT1JsSTEzMXJMdVFIM21TZmFTZ19LbHc3VW0yMFZodEdMRWhDenB4ZGNLY2JVbFRYc0hTMGRpQ0Z6NFZVQnozNGVIWldaRk1VbVR4Q29zM2x3U2RYTk5vZHlCTjA3cDZ0eg?oc=5,지리산 국립공원 생태
내장산,전북·전남,기타,내장산·월악산 등 국립공원 14곳 '전 국민 야외 결혼식 명소',네이트,2025-03-04,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5LTW5wWXBOeGxtTXFDWnBLbEVnNlJXNGoxSWFKVEtWOUxyNlFBY3FueXdFa3Jfa1NpbDlXMzZtYUw5dDJKTUZXR1B1Rk1XRzZPRWw0?oc=5,내장산 국립공원 생태
내장산,전북·전남,기타,내장산·월악산 등 국립공원 14곳 '전 국민 야외 결혼식 명소',파이낸셜뉴스,2025-03-04,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1kZk4zMmJ6RWZ5R25aOXlTUTdKY3JfeGpwWXp1LVk5ejBBOC1iczdVaVFzZzlZUmpYTVdEOXBFNUZwYTUtYlFyeXY3enJfQVhMVnBaNFdJR3Vydw?oc=5,월악산 국립공원 생태
지리산,전남·전북·경남,탐방시설,"지리산·북한산 국립공원 탐방로, 내달부터 24시간 전화 예약 시작",뉴시스,2025-02-28,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9nZWJCMFR3VGFGNG82S2I4cDVyQ3VJVTVwUGp4OGppRFQ4dWdCQzJ3aHYtdldSZjdUVnZGVjhpZlYtTUtWeENwSFkzVVFhZUdTR2NoWU9BUk9nTEx2U2NrdNIBeEFVX3lxTE1za1ZqbDh3S2pYUFY4Y1ZyTm91bFpfYTZPYVB4azY0bE9WSGc2OTNWeFdiOFVLWDV4VGZ5MzFOd01WeThWQkVwU29SclFBX0dVMnlmWnQ4eVBMdUo4MWpvcE5XM1VpNEtiUHdibV9tMGRJVmtPSkpvZw?oc=5,지리산 국립공원 탐방
설악산,강원,재난안전,설악산 산불 예방 위해 탐방로 통제···3월 4일~5월 15일,경향신문,2025-02-27,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9LemVaYlV4ckZRU2tRbTVKM2VMcnpUc0VNZVhpbjJaa2hSMzlzN2Q3NEdhcVdJd3RuVVJwb2RJRGpGMlhvbzRXQXpnTnRWa2ZDWUs4TXJZWnFFZ9IBX0FVX3lxTE5Wc2JiN3VHSFBGWWtKcnhWVXg1WS1nRVhRdDc5M3hEd1lZX3BGNWpoTHV1VG0wTVVDY3ByUG5OY1JWX1VCZGU3cDhwaVlMMHlhREdJYzIzc2NFVjg5WFIw?oc=5,설악산 국립공원 탐방
소백산,충북·경북,재난안전,"소백산국립공원, 봄철 산불예방 위해 일부 탐방로 통제",영주시민신문,2025-02-26,https://news.google.com/rss/articles/CBMiaEFVX3lxTE53aFFQZEx4bnlMWUZCQUZyUmZyd3doY3JBNklUMUZXQ244cGxwaV8wSU00ZTJtU0xwWDVpb3pwS0p0enVZUXVWaDhoUlpaYlpZYnJueldlNWh3bmNVMFJEM0drQ2E2d2N3?oc=5,소백산 국립공원 탐방
소백산,충북·경북,재난안전,소백산국립공원 3월 4일~4월 30일 7개 구간 출입 통제,경북매일,2025-02-26,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5hQmlBVjk4X2ZHMDlHRzlEWnA2bjhONTdNSFNZQngxb2IzU1lEc3JqUVZ0Y0hxQ096QzRXSllTckdMYVlsT2hnU240dUhiUnJlZFlxMkkyeS00bW8?oc=5,소백산 국립공원 탐방
한라산,제주,재난안전,“3월초에도 폭설로 못 올라가요”… 한라산 정상 한 달째 통제 중,한국일보,2025-02-25,https://news.google.com/rss/articles/CBMibkFVX3lxTFAzUDZuWEo1SnFJSEs5NWZvOU5mUk1JbUZGZ0JPbVBObHVIYjYxSXV5cjdPcVN5QnZkVTlPZlBnZ1hnb0ZNTEJzbTJkR203MnZLQ1ByUWtXYzJkWWlwdS1kTDRDODhlZW1HeEdDRk9B0gFzQVVfeXFMTUtzWWRKWlJRNVo2QXBtTEhUOG5UVnFrQ25wR3ZlV0Mzeld2RWx4Q0YtaDNMaHVXdWtQbEV5MktMM2RVZWdTXy0yd1h6V0trbGFDS1p5VlhOLXdfSTNTaE9TQlBDa1ZBd21kSy1YZWJHYmxWWQ?oc=5,한라산 국립공원 사고
월악산,충북·경북,탐방시설,"월악산국립공원, 4월까지 일부 탐방로 ‘통제’",충청일보,2025-02-25,https://news.google.com/rss/articles/CBMicEFVX3lxTE5oQlV6SWhNeWhLWnl1cTFjUkwxOEFKWkNub3Q2MEloWmpZQzNnZi05RGFsSk5lc0Z1VXhnMUJSYzJlaEE5UzlpY3dLTGI4cW00RVRCSWF5TmlBMHo4amZDd2lDNlQ3MDZYYl9hdEl4eVo?oc=5,월악산 국립공원 탐방
오대산,강원,탐방시설,오대산국립공원 탐방로 50.78㎞ 통제···3월 4일~5월 15일,경향신문,2025-02-24,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1kakNic0xVQUhYZ0hsRkpkc3JYVzY2a1hOVzBxSU1kbGN2aEpiUmhXZUYtN0xGTVJHQmg0clFhYnUtNC1zU01JdDVnVmZvMWhHYm1wZTIzbzZuUdIBX0FVX3lxTE9ySkFnRUJPLWpUcG5jY0ljUnc5SkF5c1pGaVZQdjdVZEZWZUZhT01xTnM2VnVMWXVoUW9hLWVZckg5THhiWWtLR21lSDc2aVhZdXJlUGZHMjZGNnhEWmJR?oc=5,오대산 국립공원
한라산,제주,탐방시설,탐방 프로그램으로 한라산 100% 즐기세요…3월부터 운영,경향신문,2025-02-21,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5nS08tTkJXVG8zc2dsQWkwRmFzYldWc3djTm5iTjYzSk9nS295cGRSQkhoV3IyQ2hFdWRuZmdVRktZN1NQZXJDOGxxUTVhaVFyU280NURRTGVOQdIBX0FVX3lxTE5EYkxnajI5RzlBeklHcmh6NTFobm9nX3I2eWpQdWh4UkZhVWdXVEVMZkVzeTY5cVpmNGFOSHNWdHFnRExlaWwxbXIzWENhYkQ5aHY2blFQdDllUjFkRG84?oc=5,한라산 국립공원 탐방
팔공산,대구·경북,행정,경북 칠곡교육지원청·팔공산국립공원서부사무소…생태환경교육 업무협약,매일신문,2025-02-21,https://news.google.com/rss/articles/CBMiYkFVX3lxTE16Vi04OXQtSi1jOWFXZ284UjkxYWxiT1dBb0lZa2JhQ3MxVGktOTc5NWFGZEl0cTh4aFA4UmZyeS1hY0RoZkRJbzF6blJmdURfT0MzSGtrWnFaQXVqYXkxOGRR?oc=5,팔공산 국립공원 탐방
팔공산,대구·경북,자원보전,"팔공산국립공원서부사무소-경북칠곡교육지원청, 생태·환경교육 활성화 MOU 체결",BBS불교방송,2025-02-21,https://news.google.com/rss/articles/CBMia0FVX3lxTE1idDNjb3VKeGdiSHRManp3TXprb3ROOWM3RVJlc1lVdVFXWlhVeFF4Q3llcEVZTzEyWnRoaElsWVpscnVtRnBaRXlvaDJjTkxOVnJBVHl5aC1qLUhYT0FwN1pjV2xWM0E5bWk4?oc=5,팔공산 국립공원 생태
팔공산,대구·경북,자원보전,"칠곡교육지원청-팔공산국립공원, 생태·환경교육 활성화 협약",데일리한국,2025-02-21,https://news.google.com/rss/articles/CBMib0FVX3lxTFBUek9mVXN5N2JJdkN4U0NLSy1OZ1UtRUhEWHptS1JpWUMybmlleUFFZDI0SzZlY3dyczJwZjVYUGV4Nk1DSEFJUjJ1Uk9URVdMTU42VmtfWlJlSHFYb2pySzdQYV9qV0FyNWFzS2QzZ9IBc0FVX3lxTFA4c1gzX0FEVlVkRVluRDdkM2hCWUZRV3YxVnhnTFlIMHBHRFkxU0lRbXp3aTl3SEtUeDRzZ1FISTItMDBZd3FLN2hGVnNQLUNFU3E3OWhWX2toNVVuc3FoRWFram11UElLLXhCQW8yTjEtOXM?oc=5,팔공산 국립공원 생태
변산반도,전북 부안,탐방시설,"변산반도 생태탐방원, 자연과 함께하는 특별한 생태체험",투어코리아,2025-02-21,https://news.google.com/rss/articles/CBMibEFVX3lxTFAyLWxHZUZVaFBydTFGQmJsQUhzekhlRVVQU0lEVk1YYTYyN1dIR2Jnc2JwZklXODJQdXVKa1RMTEo0dlRtc3ozZERaQXBXdEtfMzVlNVJiMUtJSHR2Z2VjR0I4bWU2dTBFVlRKaw?oc=5,변산반도 국립공원 탐방
치악산,강원 원주,탐방시설,"치악산국립공원, 탐방로 예약제 본격 시행",치악뉴스,2025-02-19,https://news.google.com/rss/articles/CBMibEFVX3lxTE9qSUY0SFhRdlpqRXVkUGJvTFF5YXF0Q0Vtc0dEejNaQXNwbHpiQlFCWEdKR0xHeDRnT0x2ZWpUR1FzdVlkNDFvSUJ0aUhncTZEVmc0dFVtNnRwcTI0QUdHZVpyQzVIVmVOcFpoTA?oc=5,치악산 국립공원
